股票代號,公司名稱,上市/櫃,今日價格,前9日加總買賣超,當日投信買賣超
1240,茂生農經,1,52.20,0,0
1259,安心,1,63.40,0,0
1264,德麥,1,318.00,0,0
1268,漢來美食,1,154.00,0,0
1294,漢田生技,1,89.90,0,0
1336,台翰,1,23.55,0,0
1565,精華,1,191.00,0,0
1569,濱川,1,56.00,0,0
1570,力肯,1,27.75,0,0
1580,新麥,1,155.50,0,0
1584,精剛,1,27.20,0,0
1586,和勤,1,28.20,0,0
1591,駿吉-KY,1,55.40,0,0
1593,祺驊,1,35.80,0,0
1595,川寶,1,45.25,0,0
1599,宏佳騰,1,29.90,0,0
1742,台蠟,1,17.20,0,0
1777,生泰,1,95.00,0,0
1781,合世,1,17.30,0,0
1784,訊聯,1,86.50,0,0
1785,光洋科,1,60.30,-14,-4
1788,杏昌,1,144.00,0,0
1796,金穎生技,1,45.20,0,0
1799,易威,1,60.80,0,0
1813,寶利徠,1,17.75,0,0
1815,富喬,1,34.50,771,4843
2035,唐榮,1,31.80,0,0
2061,風青,1,17.70,0,0
2063,世鎧,1,36.00,0,0
2064,晉椿,1,15.10,0,0
2065,世豐,1,52.10,0,0
2066,世德,1,93.20,235,0
2067,嘉鋼,1,10.95,0,0
2070,精湛,1,71.50,0,0
2073,雄順,1,27.30,0,0
2221,大甲,1,28.85,0,0
2230,泰茂,1,117.50,0,0
2235,謚源,1,47.55,0,0
2596,綠意,1,40.50,0,0
2640,大車隊,1,128.50,0,0
2641,正德,1,18.15,0,0
2643,捷迅,1,73.80,0,0
2718,全心投控,1,72.90,0,0
2719,燦星旅,1,45.80,0,0
2724,藝舍-KY,1,36.50,0,0
2726,雅茗-KY,1,24.15,0,0
2729,瓦城,1,203.50,0,0
2732,六角,1,97.60,0,0
2734,易飛網,1,27.30,0,0
2736,富野,1,21.40,0,0
2740,天蔥,1,33.75,0,0
2743,山富,1,99.00,0,0
2745,五福,1,108.00,0,0
2751,王座,1,70.70,0,0
2752,豆府,1,235.00,0,0
2754,亞洲藏壽司,1,87.40,0,0
2755,揚秦,1,112.50,0,0
2756,聯發國際,1,73.40,0,0
2916,滿心,1,53.90,0,0
2924,宏太-KY,1,30.40,0,0
2926,誠品生活,1,50.20,0,0
2937,集雅社,1,40.10,0,0
2941,米斯特,1,62.40,0,0
2947,振宇五金,1,91.00,0,0
2948,寶陞,1,49.80,0,0
2949,欣新網,1,82.00,0,0
3064,泰偉,1,69.50,0,0
3066,李洲,1,25.20,0,0
3067,全域,1,27.65,0,0
3071,協禧,1,24.70,0,0
3073,天方能源,1,50.10,0,0
3078,僑威,1,86.50,5044,1
3081,聯亞,1,490.00,908,0
3083,網龍,1,43.20,0,0
3085,新零售,1,24.20,0,0
3086,華義,1,156.00,0,0
3088,艾訊,1,151.00,12,0
3093,港建*,1,26.25,0,0
3095,及成,1,41.00,0,0
3105,穩懋,1,102.00,-10,0
3114,好德,1,25.30,0,0
3115,富榮綱,1,10.60,0,0
3118,進階,1,32.55,0,0
3122,笙泉,1,30.50,0,0
3128,昇銳,1,29.20,0,0
3131,弘塑,1,1315.00,103,-1
3141,晶宏,1,72.90,0,0
3147,大綜,1,179.50,60,0
3152,璟德,1,167.00,-45,-12
3162,精確,1,44.00,0,0
3163,波若威,1,162.50,135,0
3169,亞信,1,109.00,7,0
3171,炎洲流通,1,37.05,0,0
3176,基亞,1,36.20,0,0
3178,公準,1,63.90,0,0
3188,鑫龍騰,1,28.45,0,0
3191,雲嘉南,1,17.65,0,0
3202,樺晟,1,6.00,0,0
3205,佰研,1,32.35,0,0
3206,志豐,1,44.80,0,0
3207,耀勝,1,110.50,0,0
3211,順達,1,182.00,-1707,-183
3213,茂訊,1,96.20,0,0
3217,優群,1,148.50,-1308,-40
3218,大學光,1,218.00,-25,0
3219,倚強科,1,45.40,0,0
3221,台嘉碩,1,23.35,0,0
3224,三顧,1,50.70,0,0
3226,至寶電,1,47.75,0,0
3227,原相,1,265.00,530,-30
3228,金麗科,1,206.00,0,0
3230,錦明,1,55.70,0,0
3232,昱捷,1,26.40,0,0
3234,光環,1,49.50,0,0
3236,千如,1,19.70,0,0
3252,海灣,1,20.50,0,0
3259,鑫創,1,20.00,0,0
3260,威剛,1,76.50,0,0
3264,欣銓,1,76.80,14149,156
3265,台星科,1,110.50,0,0
3268,海德威,1,22.05,0,0
3272,東碩,1,27.85,0,0
3276,宇環,1,15.60,0,0
3284,太普高,1,34.60,0,0
3285,微端,1,26.40,0,0
3287,廣寰科,1,31.60,0,0
3288,點晶,1,21.25,0,0
3289,宜特,1,133.50,0,0
3290,東浦,1,34.35,0,0
3293,鈊象,1,911.00,-947,-137
3294,英濟,1,40.20,0,0
3297,杭特,1,21.95,0,0
3303,岱稜,1,49.70,0,0
3306,鼎天,1,49.40,0,0
3310,佳穎,1,89.50,0,0
3313,斐成,1,15.55,0,0
3317,尼克森,1,46.90,0,0
3322,建舜電,1,18.30,0,0
3323,加百裕,1,35.45,0,0
3324,雙鴻,1,591.00,-1316,-4
3325,旭品,1,19.30,0,0
3332,幸康,1, ---,0,0
3339,泰谷,1,33.35,0,0
3349,寶德,1,22.65,0,0
3354,律勝,1,21.30,0,0
3357,臺慶科,1,120.50,20,36
3360,尚立,1,13.65,0,0
3362,先進光,1,208.50,1,0
3363,上詮,1,335.00,-70,0
3372,典範,1,14.40,0,0
3373,熱映,1,24.40,0,0
3374,精材,1,183.50,-10022,-1435
3379,彬台,1,55.90,0,0
3388,崇越電,1,68.80,0,0
3390,旭軟,1,27.75,0,0
3402,漢科,1,104.50,0,0
3426,台興,1,51.00,0,0
3430,奇鈦科,1,61.90,0,0
3434,哲固,1,29.95,0,0
3438,類比科,1,62.50,0,0
3441,聯一光,1,38.20,0,0
3444,利機,1,75.20,0,0
3455,由田,1,109.00,-18,-8
3465,進泰電子,1,71.00,0,0
3466,德晉,1,55.30,0,0
3479,安勤,1,98.80,-10,105
3483,力致,1,149.00,0,0
3484,崧騰,1,54.10,0,0
3489,森寶,1,25.30,0,0
3490,單井,1,30.45,0,0
3491,昇達科,1,401.50,-213,-1015
3492,長盛,1,25.20,0,0
3498,陽程,1,52.40,0,0
3499,環天科,1,19.55,0,0
3508,位速,1,26.95,0,0
3511,矽瑪,1,33.50,0,0
3512,皇龍,1,32.60,0,0
3516,亞帝歐,1,23.30,0,0
3520,華盈,1,18.55,0,0
3521,鴻翊,1,16.40,0,0
3522,御嵿,1,25.60,0,0
3523,迎輝,1,20.25,0,0
3526,凡甲,1,277.50,23,0
3527,聚積,1,75.70,0,0
3529,力旺,1,3355.00,54,42
3531,先益,1,25.60,0,0
3537,堡達,1,50.50,0,0
3540,曜越,1,38.65,0,0
3541,西柏,1,28.20,0,0
3546,宇峻,1,76.60,0,0
3548,兆利,1,172.00,0,0
3551,世禾,1,126.00,0,0
3552,同致,1,87.90,0,0
3555,博士旺,1,32.95,0,0
3556,禾瑞亞,1,41.15,0,0
3558,神準,1,203.50,-211,0
3564,其陽,1,75.30,0,0
3567,逸昌,1,32.30,0,0
3570,大塚,1,173.50,0,0
