,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,1815.0,富喬            ,"4,843",0.0,"4,843"
1,2,6279.0,胡連            ,345,0.0,345
2,3,5289.0,宜鼎            ,209,38.0,171
3,4,3264.0,欣銓            ,369,213.0,156
4,5,3479.0,安勤            ,105,0.0,105
5,6,6231.0,系微            ,102,0.0,102
6,7,4979.0,華星光          ,99,0.0,99
7,8,6679.0,鈺太            ,90,0.0,90
8,9,6223.0,旺矽            ,88,14.0,74
9,10,6245.0,立端            ,50,0.0,50
10,11,3529.0,力旺            ,42,0.0,42
11,12,3357.0,臺慶科          ,71,35.0,36
12,13,8069.0,元太            ,238,203.0,35
13,14,8936.0,國統            ,14,0.0,14
14,15,6510.0,精測            ,11,0.0,11
15,16,3078.0,僑威            ,10,9.0,1
