,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,5347.0,世界            ,159.0,"1,217","-1,058"
1,2,3374.0,精材            ,25.0,792,-767
2,3,6188.0,廣明            ,0.0,450,-450
3,4,5536.0,聖暉*           ,0.0,330,-330
4,5,6223.0,旺矽            ,57.0,274,-217
5,6,6488.0,環球晶          ,0.0,190,-190
6,7,8299.0,群聯            ,0.0,187,-187
7,8,6138.0,茂達            ,0.0,170,-170
8,9,5483.0,中美晶          ,13.0,167,-154
9,10,3680.0,家登            ,0.0,149,-149
10,11,6147.0,頎邦            ,0.0,139,-139
11,12,3217.0,優群            ,23.0,134,-111
12,13,3293.0,鈊象            ,0.0,77,-77
13,14,6121.0,新普            ,0.0,73,-73
14,15,6274.0,台燿            ,0.0,66,-66
15,16,3558.0,神準            ,0.0,65,-65
16,17,3324.0,雙鴻            ,0.0,64,-64
17,18,4991.0,環宇-KY         ,0.0,40,-40
18,19,3529.0,力旺            ,2.0,31,-29
19,20,3526.0,凡甲            ,31.0,35,-4
20,21,8358.0,金居            ,0.0,2,-2
21,22,6261.0,久元            ,0.0,2,-2
22,23,8050.0,廣積            ,0.0,2,-2
23,24,3105.0,穩懋            ,0.0,2,-2
24,25,3227.0,原相            ,0.0,2,-2
25,26,6146.0,耕興            ,0.0,2,-2
26,27,3357.0,臺慶科          ,0.0,1,-1
27,28,3455.0,由田            ,0.0,1,-1
28,29,5274.0,信驊            ,0.0,1,-1
29,30,6664.0,群翊            ,0.0,1,-1
30,31,8086.0,宏捷科          ,0.0,1,-1
31,32,8916.0,光隆            ,0.0,1,-1
32,33,6023.0,元大期          ,0.0,1,-1
33,34,3211.0,順達            ,0.0,1,-1
34,35,6732.0,昇佳電子        ,0.0,1,-1
35,36,4126.0,太醫            ,0.0,0,0
36,37,6803.0,崑鼎            ,0.0,0,0
37,38,5209.0,新鼎            ,0.0,0,0
