,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,2308  ,台達電          ,"3,372,161","353,500","3,018,661"
1,2610  ,華航            ,"2,909,000","1,000","2,908,000"
2,3450  ,聯鈞            ,"2,308,500",0,"2,308,500"
3,0050  ,元大台灣50      ,"1,500,000",0,"1,500,000"
4,2049  ,上銀            ,"1,336,000",0,"1,336,000"
5,3005  ,神基            ,"1,423,000","228,000","1,195,000"
6,2885  ,元大金          ,"1,313,000","140,000","1,173,000"
7,1442  ,名軒            ,"1,150,000",0,"1,150,000"
8,0056  ,元大高股息      ,"1,100,000",0,"1,100,000"
9,5876  ,上海商銀        ,"1,813,000","771,000","1,042,000"
10,2618  ,長榮航          ,"4,013,000","3,123,000","890,000"
11,2801  ,彰銀            ,"1,122,000","374,000","748,000"
12,1402  ,遠東新          ,"698,684","152,000","546,684"
13,2383  ,台光電          ,"651,000","158,000","493,000"
14,6706  ,惠特            ,"470,000",0,"470,000"
15,3592  ,瑞鼎            ,"387,000",769,"386,231"
16,2883B ,凱基金乙特      ,"364,000",0,"364,000"
17,8046  ,南電            ,"378,000","17,634","360,366"
18,6451  ,訊芯-KY         ,"359,000",0,"359,000"
19,2368  ,金像電          ,"666,000","329,000","337,000"
20,4968  ,立積            ,"314,000",0,"314,000"
21,9904  ,寶成            ,"328,000","31,000","297,000"
22,5522  ,遠雄            ,"293,000",0,"293,000"
23,2356  ,英業達          ,"507,000","263,000","244,000"
24,1504  ,東元            ,"236,000",0,"236,000"
25,5871  ,中租-KY         ,"256,151","39,000","217,151"
26,3703  ,欣陸            ,"196,000",0,"196,000"
27,6515  ,穎崴            ,"194,000",0,"194,000"
28,2455  ,全新            ,"185,000",0,"185,000"
29,3019  ,亞光            ,"169,000",0,"169,000"
30,6005  ,群益證          ,"145,000",0,"145,000"
31,1532  ,勤美            ,"140,000",0,"140,000"
32,2609  ,陽明            ,"420,000","289,000","131,000"
33,2615  ,萬海            ,"170,000","39,000","131,000"
34,00713 ,元大台灣高息低波,"110,000",0,"110,000"
35,2395  ,研華            ,"152,000","42,000","110,000"
36,6438  ,迅得            ,"98,000",0,"98,000"
37,2441  ,超豐            ,"90,000",0,"90,000"
38,2645  ,長榮航太        ,"90,000",0,"90,000"
39,4583  ,台灣精銳        ,"80,000",0,"80,000"
40,1210  ,大成            ,"78,000",0,"78,000"
41,9939  ,宏全            ,"75,000",0,"75,000"
42,2379  ,瑞昱            ,"356,000","284,566","71,434"
43,2882B ,國泰金乙特      ,"64,000",0,"64,000"
44,6781  ,AES-KY          ,"60,000",0,"60,000"
45,8131  ,福懋科          ,"60,000",0,"60,000"
46,2376  ,技嘉            ,"89,000","30,000","59,000"
47,8464  ,億豐            ,"55,229",0,"55,229"
48,2504  ,國產            ,"134,442","83,000","51,442"
49,4912  ,聯德控股-KY     ,"47,000",0,"47,000"
50,2888  ,新光金          ,"52,000","6,000","46,000"
51,6957  ,裕慶-KY         ,"35,000",0,"35,000"
52,6757  ,台灣虎航        ,"31,000",0,"31,000"
53,2597  ,潤弘            ,"28,000",0,"28,000"
54,6196  ,帆宣            ,"22,000",0,"22,000"
55,9941  ,裕融            ,"25,000","4,000","21,000"
56,3008  ,大立光          ,"41,393","21,000","20,393"
57,2344  ,華邦電          ,"20,000",0,"20,000"
58,7722  ,LINEPAY         ,"19,000",0,"19,000"
59,9802  ,鈺齊-KY         ,"18,000",0,"18,000"
60,1907  ,永豐餘          ,"16,231",0,"16,231"
61,2633  ,台灣高鐵        ,"15,000","1,000","14,000"
62,6526  ,達發            ,"14,000",0,"14,000"
63,2454  ,聯發科          ,"353,348","340,619","12,729"
64,1609  ,大亞            ,"12,471",0,"12,471"
65,1722  ,台肥            ,"12,000",0,"12,000"
66,3596  ,智易            ,"81,000","70,000","11,000"
67,2348  ,海悅            ,"10,000",0,"10,000"
68,6442  ,光聖            ,"9,000",0,"9,000"
69,1605  ,華新            ,"9,000","1,000","8,000"
70,6770  ,力積電          ,"8,000",0,"8,000"
71,9917  ,中保科          ,"12,000","4,000","8,000"
72,1536  ,和大            ,"6,000",0,"6,000"
73,3653  ,健策            ,"11,000","5,000","6,000"
74,2201  ,裕隆            ,"5,000",0,"5,000"
75,2233  ,宇隆            ,"5,000",0,"5,000"
76,6689  ,伊雲谷          ,"4,514",0,"4,514"
77,2006  ,東和鋼鐵        ,"12,020","8,000","4,020"
78,6214  ,精誠            ,"3,238",0,"3,238"
79,1307  ,三芳            ,"3,000",0,"3,000"
80,1434  ,福懋            ,"3,000",0,"3,000"
81,2354  ,鴻準            ,"3,000",0,"3,000"
82,2408  ,南亞科          ,"3,000",0,"3,000"
83,6271  ,同欣電          ,"3,000",0,"3,000"
84,3661  ,世芯-KY         ,"9,900","7,000","2,900"
85,6873  ,泓德能源        ,"2,353",0,"2,353"
86,1319  ,東陽            ,"2,000",0,"2,000"
87,2492  ,華新科          ,"2,000",0,"2,000"
88,5521  ,工信            ,"2,000",0,"2,000"
89,9938  ,百和            ,"2,000",0,"2,000"
90,1524  ,耿鼎            ,"1,000",0,"1,000"
91,1540  ,喬福            ,"1,000",0,"1,000"
92,2030  ,彰源            ,"1,000",0,"1,000"
93,2033  ,佳大            ,"1,000",0,"1,000"
94,2038  ,海光            ,"1,000",0,"1,000"
95,2362  ,藍天            ,"1,000",0,"1,000"
96,2371  ,大同            ,"1,000",0,"1,000"
97,2388  ,威盛            ,"1,000",0,"1,000"
98,2399  ,映泰            ,"1,000",0,"1,000"
99,2436  ,偉詮電          ,"1,000",0,"1,000"
100,2477  ,美隆電          ,"1,000",0,"1,000"
101,2495  ,普安            ,"1,000",0,"1,000"
102,2498  ,宏達電          ,"1,000",0,"1,000"
103,2515  ,中工            ,"1,000",0,"1,000"
104,3013  ,晟銘電          ,"1,000",0,"1,000"
105,3622  ,洋華            ,"1,000",0,"1,000"
106,3715  ,定穎投控        ,"1,000",0,"1,000"
107,4935  ,茂林-KY         ,"1,000",0,"1,000"
108,5243  ,乙盛-KY         ,"1,000",0,"1,000"
109,6216  ,居易            ,"1,000",0,"1,000"
110,6224  ,聚鼎            ,"1,000",0,"1,000"
111,6243  ,迅杰            ,"1,000",0,"1,000"
112,6531  ,愛普*           ,"1,000",0,"1,000"
113,6592A ,和潤企業甲特    ,"1,000",0,"1,000"
114,6669  ,緯穎            ,"32,000","31,000","1,000"
115,6768  ,志強-KY         ,"1,000",0,"1,000"
116,8112A ,至上甲特        ,"1,000",0,"1,000"
117,8249  ,菱光            ,"1,000",0,"1,000"
118,8404  ,百和興業-KY     ,"1,000",0,"1,000"
119,9935  ,慶豐富          ,"1,000",0,"1,000"
120,2727  ,王品            ,774,0,774
121,6472  ,保瑞            ,654,0,654
122,1590  ,亞德客-KY       ,585,0,585
123,1810  ,和成            ,320,0,320
124,3706  ,神達            ,"2,000","4,201,000","-4,199,000"
125,2324  ,仁寶            ,"771,000","3,810,000","-3,039,000"
126,2890  ,永豐金          ,"1,198,000","3,820,000","-2,622,000"
127,2449  ,京元電子        ,"8,000","2,473,000","-2,465,000"
128,1326  ,台化            ,"77,000","2,353,000","-2,276,000"
129,2382  ,廣達            ,"161,725","2,406,500","-2,244,775"
130,2303  ,聯電            ,"4,029,000","5,916,751","-1,887,751"
131,2330  ,台積電          ,"812,462","2,631,500","-1,819,038"
132,2884  ,玉山金          ,"386,000","2,110,000","-1,724,000"
133,2603  ,長榮            ,"674,134","2,299,000","-1,624,866"
134,3702  ,大聯大          ,"226,000","1,814,196","-1,588,196"
135,2317  ,鴻海            ,"383,000","1,945,000","-1,562,000"
136,2891  ,中信金          ,"3,607,000","5,131,000","-1,524,000"
137,3045  ,台灣大          ,"247,000","1,748,700","-1,501,700"
138,2409  ,友達            ,"18,000","1,462,000","-1,444,000"
139,4958  ,臻鼎-KY         ,"11,000","1,391,000","-1,380,000"
140,4938  ,和碩            ,"163,000","1,498,073","-1,335,073"
141,4904  ,遠傳            ,"330,000","1,653,000","-1,323,000"
142,2903  ,遠百            ,0,"1,282,000","-1,282,000"
143,5880  ,合庫金          ,"262,000","1,459,000","-1,197,000"
144,2887  ,台新金          ,"507,000","1,657,000","-1,150,000"
145,2880  ,華南金          ,"219,000","1,343,000","-1,124,000"
146,2002  ,中鋼            ,"405,000","1,484,000","-1,079,000"
147,6505  ,台塑化          ,"46,213","1,116,000","-1,069,787"
148,2886  ,兆豐金          ,"1,611,000","2,655,000","-1,044,000"
149,2883  ,凱基金          ,"465,000","1,470,000","-1,005,000"
150,3036  ,文曄            ,"13,000","1,013,000","-1,000,000"
151,2353  ,宏碁            ,"117,000","1,067,000","-950,000"
152,2855  ,統一證          ,"1,000","938,000","-937,000"
153,2347  ,聯強            ,"76,727","958,987","-882,260"
154,3711  ,日月光投控      ,"407,000","1,235,000","-828,000"
155,1303  ,南亞            ,"172,644","981,000","-808,356"
156,1301  ,台塑            ,"117,000","859,000","-742,000"
157,6177  ,達麗            ,0,"700,250","-700,250"
